,incode1,count,count_perc,ALC_perc,,
415,1PZ38JAGJ,25,0,4,,
416,1UJ73JA,25,0,20,,
417,1YT14JAT6,25,0,32,,
418,1YV52HA,25,0,8,,
419,3CA10VA,25,0,8,,
420,3SQ18VA,25,0,24,,
421,1ET13JN,24,0,8.33,,
422,1IL35HAC1,24,0,4.17,,
423,1IS55GRLF,24,0,8.33,,
424,1NF54JATS,24,0,8.33,,
425,1NQ53CATS,24,0,0,,
426,1PQ50BABJ,24,0,0,,
427,1UK73JA,24,0,33.33,,
428,1YW52LA,24,0,12.5,,
429,3EY20WA,24,0,4.17,,
430,3OT40WC,24,0,0,,
431,1NF13BAKK,23,0,0,,
432,1NQ35CAX9,23,0,17.39,,
433,1PM54HHTS,23,0,0,,
434,1TA03JASR,23,0,39.13,,
435,1YG80LA,23,0,8.7,,
436,1YV80JAFF,23,0,43.48,,
437,1YW14JAT6,23,0,39.13,,
438,2GZ21EC,23,0,4.35,,
439,2TA71HA,23,0,4.35,,
440,2WA71HA,23,0,0,,
441,3CA20VA,23,0,13.04,,
442,1GZ30JH,22,0,0,,
443,1NQ52LA,22,0,0,,
444,1PM35CAT9,22,0,0,,
445,1TK03JAFQ,22,0,18.18,,
446,1TV03JASR,22,0,22.73,,
447,1UC73JA,22,0,18.18,,
448,1YT52LA,22,0,13.64,,
449,1ZZ35HAP3,22,0,9.09,,
450,2HZ21UC,22,0,4.55,,
451,3FU30VA,22,0,0,,
452,3GT20WE,22,0,9.09,,
453,3ID10VC,22,0,13.64,,
454,3PH10VA,22,0,0,,
455,3VZ40VA,22,0,27.27,,
456,1ET52CATJ,21,0,9.52,,
457,1FX52BA,21,0,9.52,,
458,3EY20VA,21,0,4.76,,
459,3SF20WA,21,0,28.57,,
460,7SC70SD,21,0,14.29,,
461,1GJ54JATS,20,0,5,,
462,1JW57GPGX,20,0,20,,
463,1YS52HA,20,0,5,,
464,3JM30DA,20,0,0,,
465,3KG10VX,20,0,5,,
466,3KT10VA,20,0,10,,
467,3QZ30DA,20,0,15,,
468,3SH30DA,20,0,0,,
469,3WZ70CC,20,0,15,,
470,1IL35HA1C,19,0,5.26,,
471,1SZ52HATS,19,0,5.26,,
